Customer_Name,Customer_ID,Segment,Region
Darren Powers,Darren Powers,Consumer,Central
Phillina Ober,Phillina Ober,Home Office,Central
Mick Brown,Mick Brown,Consumer,East
Jack O'Briant,Jack O'Briant,Corporate,South
Lycoris Saunders,Lycoris Saunders,Consumer,West
Maria Etezadi,Maria Etezadi,Home Office,South
Vivek Sundaresam,Vivek Sundaresam,Consumer,Central
Melanie Seite,Melanie Seite,Consumer,Central
Anthony Jacobs,Anthony Jacobs,Corporate,South
Seth Vernon,Seth Vernon,Consumer,East
Natalie DeCherney,Natalie DeCherney,Consumer,South
Michael Moore,Michael Moore,Consumer,East
Brian Dahlen,Brian Dahlen,Consumer,West
Chris Selesnick,Chris Selesnick,Corporate,South
Brendan Sweed,Brendan Sweed,Corporate,East
Erica Hackney,Erica Hackney,Consumer,South
Delfina Latchford,Delfina Latchford,Consumer,East
David Wiener,David Wiener,Corporate,West
Toby Swindell,Toby Swindell,Consumer,West
Hunter Lopez,Hunter Lopez,Consumer,South
Muhammed MacIntyre,Muhammed MacIntyre,Corporate,South
Mark Van Huff,Mark Van Huff,Consumer,West
Xylona Preis,Xylona Preis,Consumer,Central
Tom Boeckenhauer,Tom Boeckenhauer,Consumer,South
Ionia McGrath,Ionia McGrath,Consumer,West
Speros Goranitis,Speros Goranitis,Consumer,Central
Shirley Daniels,Shirley Daniels,Home Office,South
Carol Adams,Carol Adams,Corporate,Central
Ed Jacobs,Ed Jacobs,Consumer,West
Jasper Cacioppo,Jasper Cacioppo,Consumer,East
Mike Vittorini,Mike Vittorini,Consumer,Central
Liz Carlisle,Liz Carlisle,Consumer,West
Bradley Drucker,Bradley Drucker,Consumer,Central
Eric Barreto,Eric Barreto,Consumer,South
Cynthia Delaney,Cynthia Delaney,Home Office,West
Tom Boeckenhauer,Tom Boeckenhauer,Consumer,West
Mark Haberlin,Mark Haberlin,Corporate,West
Deborah Brumfield,Deborah Brumfield,Home Office,West
Delfina Latchford,Delfina Latchford,Consumer,Central
Neil Ducich,Neil Ducich,Corporate,South
Cyma Kinney,Cyma Kinney,Corporate,East
Chris Selesnick,Chris Selesnick,Corporate,East
Nathan Mautz,Nathan Mautz,Home Office,West
Natalie Fritzler,Natalie Fritzler,Consumer,South
Guy Armstrong,Guy Armstrong,Consumer,Central
Sanjit Chand,Sanjit Chand,Consumer,West
Shui Tom,Shui Tom,Consumer,Central
Marina Lichtenstein,Marina Lichtenstein,Corporate,West
Barry Französisch,Barry Französisch,Corporate,West
Michael Nguyen,Michael Nguyen,Consumer,Central
Aaron Bergman,Aaron Bergman,Consumer,Central
Troy Blackwell,Troy Blackwell,Consumer,Central
Linda Cazamias,Linda Cazamias,Corporate,Central
Steven Roelle,Steven Roelle,Home Office,West
Tamara Manning,Tamara Manning,Consumer,Central
Sue Ann Reed,Sue Ann Reed,Consumer,West
Michael Grace,Michael Grace,Home Office,Central
Jennifer Halladay,Jennifer Halladay,Consumer,West
Joy Smith,Joy Smith,Consumer,East
Dave Brooks,Dave Brooks,Consumer,West
Vicky Freymann,Vicky Freymann,Home Office,Central
Shahid Collister,Shahid Collister,Consumer,Central
Hallie Redmond,Hallie Redmond,Home Office,East
Giulietta Weimer,Giulietta Weimer,Consumer,Central
Kristina Nunn,Kristina Nunn,Home Office,East
Nicole Hansen,Nicole Hansen,Corporate,East
Eva Jacobs,Eva Jacobs,Consumer,West
Anne Pryor,Anne Pryor,Home Office,East
Jill Stevenson,Jill Stevenson,Corporate,East
Sam Craven,Sam Craven,Consumer,Central
Ashley Jarboe,Ashley Jarboe,Consumer,South
Clay Ludtke,Clay Ludtke,Consumer,South
Sanjit Chand,Sanjit Chand,Consumer,South
Aimee Bixby,Aimee Bixby,Consumer,East
Craig Molinari,Craig Molinari,Corporate,West
Nora Pelletier,Nora Pelletier,Home Office,West
Aaron Bergman,Aaron Bergman,Consumer,West
Scott Williamson,Scott Williamson,Consumer,Central
Kean Thornton,Kean Thornton,Consumer,West
Richard Bierner,Richard Bierner,Consumer,West
Filia McAdams,Filia McAdams,Corporate,South
Kelly Andreada,Kelly Andreada,Consumer,East
Chloris Kastensmidt,Chloris Kastensmidt,Consumer,East
Neil Französisch,Neil Französisch,Home Office,South
Jason Fortune-,Jason Fortune-,Consumer,West
Christine Kargatis,Christine Kargatis,Home Office,South
Rick Bensley,Rick Bensley,Home Office,Central
Dean Katz,Dean Katz,Corporate,West
Alan Shonely,Alan Shonely,Consumer,South
Kristina Nunn,Kristina Nunn,Home Office,South
Bradley Nguyen,Bradley Nguyen,Consumer,Central
Quincy Jones,Quincy Jones,Corporate,East
Christine Phan,Christine Phan,Corporate,East
Annie Zypern,Annie Zypern,Consumer,Central
Mark Haberlin,Mark Haberlin,Corporate,South
Eileen Kiefer,Eileen Kiefer,Home Office,West
Sample Company A,Sample Company A,Home Office,West
Sean Miller,Sean Miller,Home Office,South
Matt Connell,Matt Connell,Corporate,South
Thomas Seio,Thomas Seio,Corporate,South
Cassandra Brandow,Cassandra Brandow,Consumer,East
Gary McGarr,Gary McGarr,Consumer,South
Kristen Hastings,Kristen Hastings,Corporate,South
Vivian Mathis,Vivian Mathis,Consumer,Central
Beth Fritzler,Beth Fritzler,Corporate,West
Craig Carroll,Craig Carroll,Consumer,South
Patrick O'Donnell,Patrick O'Donnell,Consumer,West
Bruce Geld,Bruce Geld,Consumer,South
Maurice Satty,Maurice Satty,Consumer,West
Carlos Daly,Carlos Daly,Consumer,East
Christina Anderson,Christina Anderson,Consumer,West
Annie Zypern,Annie Zypern,Consumer,East
Cindy Stewart,Cindy Stewart,Consumer,West
Jonathan Doherty,Jonathan Doherty,Corporate,West
Damala Kotsonis,Damala Kotsonis,Corporate,West
Daniel Raglin,Daniel Raglin,Home Office,West
Mike Pelletier,Mike Pelletier,Home Office,East
Christina VanderZanden,Christina VanderZanden,Consumer,Central
Mike Gockenbach,Mike Gockenbach,Consumer,Central
Susan Gilcrest,Susan Gilcrest,Corporate,East
Nat Carroll,Nat Carroll,Consumer,Central
Guy Armstrong,Guy Armstrong,Consumer,West
Dorris liebe,Dorris liebe,Corporate,West
Mark Packer,Mark Packer,Home Office,Central
Kunst Miller,Kunst Miller,Consumer,East
Karen Bern,Karen Bern,Corporate,South
Dorothy Dickinson,Dorothy Dickinson,Consumer,Central
Jas O'Carroll,Jas O'Carroll,Consumer,East
Alex Avila,Alex Avila,Consumer,West
Trudy Glocke,Trudy Glocke,Consumer,South
Katharine Harms,Katharine Harms,Corporate,East
Kunst Miller,Kunst Miller,Consumer,West
Anna Häberlin,Anna Häberlin,Corporate,South
Rob Dowd,Rob Dowd,Consumer,South
Katrina Edelman,Katrina Edelman,Corporate,West
Paul Knutson,Paul Knutson,Home Office,West
Mary Zewe,Mary Zewe,Corporate,West
Maurice Satty,Maurice Satty,Consumer,Central
Ken Black,Ken Black,Corporate,South
Greg Maxwell,Greg Maxwell,Corporate,South
Tracy Hopkins,Tracy Hopkins,Home Office,East
Ruben Dartt,Ruben Dartt,Consumer,Central
John Grady,John Grady,Corporate,Central
Roy Phan,Roy Phan,Corporate,South
Andy Yotov,Andy Yotov,Corporate,West
Shirley Daniels,Shirley Daniels,Home Office,East
Guy Phonely,Guy Phonely,Corporate,East
Frank Hawley,Frank Hawley,Corporate,West
Scott Cohen,Scott Cohen,Corporate,West
Pauline Johnson,Pauline Johnson,Consumer,South
Roland Schwarz,Roland Schwarz,Corporate,South
Valerie Mitchum,Valerie Mitchum,Home Office,South
Jim Mitchum,Jim Mitchum,Corporate,West
Ruben Ausman,Ruben Ausman,Corporate,South
John Stevenson,John Stevenson,Consumer,East
Pauline Chand,Pauline Chand,Home Office,West
Jay Kimmel,Jay Kimmel,Consumer,South
Michelle Moray,Michelle Moray,Consumer,West
Sanjit Engle,Sanjit Engle,Consumer,West
Gary Mitchum,Gary Mitchum,Home Office,Central
Edward Hooks,Edward Hooks,Corporate,West
Kean Nguyen,Kean Nguyen,Corporate,West
Stewart Visinsky,Stewart Visinsky,Consumer,Central
Jonathan Doherty,Jonathan Doherty,Corporate,East
Ben Ferrer,Ben Ferrer,Home Office,East
