Order_ID,Order_Date,Customer_ID,Product_Category,Discount,Profit,Quantity,Sales,Region
US-2020-103800,1/3/2019,Darren Powers,Office Supplies,0.2,5.5512,2,16.448,Central
US-2020-112326,1/4/2019,Phillina Ober,Office Supplies,0.8,-5.487,2,3.54,Central
US-2020-112326,1/4/2019,Phillina Ober,Office Supplies,0.2,4.2717,3,11.784,Central
US-2020-112326,1/4/2019,Phillina Ober,Office Supplies,0.2,-64.7748,3,272.736,Central
US-2020-141817,1/5/2019,Mick Brown,Office Supplies,0.2,4.884,3,19.536,East
US-2020-106054,1/6/2019,Jack O'Briant,Office Supplies,0,5.2398,3,12.78,South
US-2020-130813,1/6/2019,Lycoris Saunders,Office Supplies,0,9.3312,3,19.44,West
US-2020-167199,1/6/2019,Maria Etezadi,Furniture,0,746.4078,9,2573.82,South
US-2020-167199,1/6/2019,Maria Etezadi,Office Supplies,0,1.4796,2,5.48,South
US-2020-167199,1/6/2019,Maria Etezadi,Office Supplies,0,274.491,2,609.98,South
US-2020-167199,1/6/2019,Maria Etezadi,Office Supplies,0,0.3112,4,31.12,South
US-2020-167199,1/6/2019,Maria Etezadi,Office Supplies,0,3.0084,1,6.54,South
US-2020-167199,1/6/2019,Maria Etezadi,Technology,0,204.1092,4,755.96,South
US-2020-167199,1/6/2019,Maria Etezadi,Technology,0,113.6742,2,391.98,South
US-2020-105417,1/7/2019,Vivek Sundaresam,Furniture,0.6,-53.7096,3,76.728,Central
US-2020-105417,1/7/2019,Vivek Sundaresam,Office Supplies,0.8,-18.2525,7,10.43,Central
US-2020-135405,1/9/2019,Melanie Seite,Office Supplies,0.2,1.168,2,9.344,Central
US-2020-135405,1/9/2019,Melanie Seite,Technology,0.2,9.75,3,31.2,Central
US-2020-149020,1/10/2019,Anthony Jacobs,Furniture,0,21.2954,1,51.94,South
US-2020-149020,1/10/2019,Anthony Jacobs,Office Supplies,0,1.3583,1,2.89,South
US-2020-130092,1/11/2019,Seth Vernon,Furniture,0,3.0814,2,9.94,East
US-2020-109232,1/13/2019,Natalie DeCherney,Furniture,0,87.3504,6,545.94,South
US-2020-118192,1/13/2019,Michael Moore,Office Supplies,0.7,-2.5212,2,3.438,East
US-2020-118192,1/13/2019,Michael Moore,Office Supplies,0.2,13.0928,7,37.408,East
US-2020-157147,1/13/2019,Brian Dahlen,Furniture,0.15,3.9294,3,333.999,West
US-2020-157147,1/13/2019,Brian Dahlen,Office Supplies,0,6.567,5,19.9,West
US-2020-157147,1/13/2019,Brian Dahlen,Office Supplies,0,238.653,5,1325.85,West
US-2020-162775,1/13/2019,Chris Selesnick,Office Supplies,0,2.7072,3,5.64,South
US-2020-162775,1/13/2019,Chris Selesnick,Office Supplies,0,25.47,3,50.94,South
US-2020-162775,1/13/2019,Chris Selesnick,Office Supplies,0,5.3392,2,11.36,South
US-2020-162775,1/13/2019,Chris Selesnick,Office Supplies,0,34.3548,6,572.58,South
US-2020-162775,1/13/2019,Chris Selesnick,Technology,0,258.696,6,646.74,South
US-2020-149524,1/14/2019,Brendan Sweed,Furniture,0.5,-53.2856,4,61.96,East
US-2020-103366,1/15/2019,Erica Hackney,Technology,0,65.978,5,149.95,South
US-2020-115791,1/16/2019,Delfina Latchford,Furniture,0.2,28.5984,6,127.104,East
US-2020-115791,1/16/2019,Delfina Latchford,Office Supplies,0.7,-13.6312,2,18.588,East
US-2020-115791,1/16/2019,Delfina Latchford,Office Supplies,0.2,10.1493,3,30.072,East
US-2020-115791,1/16/2019,Delfina Latchford,Technology,0.4,-31.05,3,124.2,East
US-2020-123477,1/18/2019,David Wiener,Office Supplies,0.2,6.4864,4,64.864,West
US-2020-146591,1/19/2019,Toby Swindell,Furniture,0.7,-320.597,5,181.47,West
US-2020-146591,1/19/2019,Toby Swindell,Office Supplies,0.7,-23.716,10,32.34,West
US-2020-146591,1/19/2019,Toby Swindell,Office Supplies,0.2,36.693,5,108.72,West
US-2020-146591,1/19/2019,Toby Swindell,Office Supplies,0.2,19.6224,4,56.064,West
US-2020-147627,1/20/2019,Hunter Lopez,Furniture,0,224.2674,3,1067.94,South
US-2020-147627,1/20/2019,Hunter Lopez,Furniture,0,11.58,4,38.6,South
US-2020-147627,1/20/2019,Hunter Lopez,Office Supplies,0,6.6584,7,22.96,South
US-2020-147627,1/20/2019,Hunter Lopez,Office Supplies,0,1.7901,3,6.63,South
US-2020-147627,1/20/2019,Hunter Lopez,Office Supplies,0,10.9698,3,23.34,South
US-2020-147627,1/20/2019,Hunter Lopez,Technology,0,181.9818,7,699.93,South
US-2020-147774,1/20/2019,Muhammed MacIntyre,Office Supplies,0.7,-51.5154,1,67.194,South
US-2020-148614,1/20/2019,Mark Van Huff,Furniture,0,5.79,2,19.3,West
US-2020-148614,1/20/2019,Mark Van Huff,Office Supplies,0,9.2928,2,19.36,West
US-2020-167927,1/20/2019,Xylona Preis,Furniture,0,4.8609,3,14.73,Central
US-2020-167927,1/20/2019,Xylona Preis,Furniture,0,30.0234,3,272.94,Central
US-2020-167927,1/20/2019,Xylona Preis,Office Supplies,0.1,93.5816,4,247.716,Central
US-2020-167927,1/20/2019,Xylona Preis,Office Supplies,0,12.7368,3,43.92,Central
US-2020-167927,1/20/2019,Xylona Preis,Office Supplies,0,8.9535,5,19.05,Central
